_exported_at;_system_object_id;_id;_last_modified;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_isler_name#de-DE;oeu_isler_name#en-US
"2023-05-25T10:42:53+02:00";"111686";"17042";"2023-05-03T10:36:17Z";"Florélites Clause SA : Gartencenter RN 7 Saint-Fargeau-Ponthierry : Village d’Artisans (Künstlerateliers)";"";"Florélites Clause SA : Gartencenter RN 7 Saint-Fargeau-Ponthierry : Village d’Artisans (Künstlerateliers)";"Florélites Clause SA : Garden Center RN 7 Saint-Fargeau-Ponthierry : Village D’Artisans (Artists’ Studios)"
"2023-05-25T10:42:53+02:00";"111687";"17043";"2023-03-28T12:41:28Z";"Unterlagen zu Lichtkuppeln, Krananlagen und einer Versuchsschale";"";"Unterlagen zu Lichtkuppeln, Krananlagen und einer Versuchsschale";"Documents on Domed Skylights, Crane Systems and a Test Shell"
"2023-05-25T10:42:53+02:00";"111688";"17044";"2023-05-02T10:18:19Z";"Architekten Suter & Suter : Garagenneubau";"";"Architekten Suter & Suter : Garagenneubau";"Architects Suter & Suter : New Garage Building"
"2023-05-25T10:42:53+02:00";"111689";"17045";"2023-03-09T17:57:54Z";"HIB : Broadland Sports Village : Tennishalle und Eventhalle";"";"HIB : Broadland Sports Village : Tennishalle und Eventhalle";"HIB : Broadland Sports Village : Tennis Hall and Event Hall"
"2023-05-25T10:42:53+02:00";"111690";"17046";"2023-05-03T08:42:14Z";"HIB : Clydebank Sport Village : Multisporthalle : Bowlinghalle : Hallenbad";"";"HIB : Clydebank Sport Village : Multisporthalle : Bowlinghalle : Hallenbad";"HIB : Clydebank Sport Village : Multisport Hall : Bowling Hall : Indoor Swimming Pool"
"2023-05-25T10:42:53+02:00";"111691";"17047";"2023-05-11T14:46:28Z";"Antibakteria AG";"";"Antibakteria AG";"Antibakteria AG"
"2023-05-25T10:42:53+02:00";"111718";"17074";"2023-02-23T17:20:39Z";"Naturtheater Stetten (heute Theater unter den Kuppeln)";"Naturtheater Stetten (Today Theater Under the Cupolas)";"Naturtheater Stetten";"Natural Theatre Stetten"
"2023-05-25T10:42:53+02:00";"111742";"17098";"2023-05-03T09:53:10Z";"Hewlett-Packard : Prüfhaube";"";"Hewlett-Packard : Prüfhaube";"Hewlett-Packard : Test Hood"
"2023-05-25T10:42:53+02:00";"111743";"17099";"2023-03-28T12:41:33Z";"Albert Burkart : Lagergebäude";"";"Albert Burkart : Lagergebäude";"Albert Burkart : Warehouse"
"2023-05-25T10:42:53+02:00";"111744";"17100";"2023-03-21T10:40:58Z";"Fahrradfabrik Mondia : Ersatzteillager : Neubau";"";"Fahrradfabrik Mondia : Ersatzteillager : Neubau";"Bicycle Factory Mondia : Spare Parts Store : New Building"
"2023-05-25T10:42:53+02:00";"111745";"17101";"2023-03-28T12:41:35Z";"Carl Spaeter AG";"";"Carl Spaeter AG";"Carl Spaeter AG"
"2023-05-25T10:42:53+02:00";"111746";"17102";"2023-05-02T07:56:18Z";"Südwestdeutsche Verkehrs-AG SWEG : Triebwagenwartungshalle Ottenhöfen";"";"Südwestdeutsche Verkehrs-AG SWEG: Triebwagenwartungshalle Ottenhöfen";"Südwestdeutsche Verkehrs-AG SWEG: Railcar Maintenance Hall Ottenhöfen"
"2023-05-25T10:42:53+02:00";"111747";"17103";"2023-05-03T16:05:28Z";"Erdhaus Martin Tschaggelar : Öko-Pilotprojekt Birchen";"";"Erdhaus Martin Tschaggelar : Öko-Pilotprojekt Birchen";"Earthhouse Martin Tschaggelar : Birchen Eco-Pilot Project"
"2023-05-25T10:42:53+02:00";"111748";"17104";"2023-03-30T09:15:35Z";"Carrosseriewerk Ramseier & Jenzer AG : Werkhallen in Worblaufen : Neubau";"";"Carrosseriewerk Ramseier & Jenzer AG : Werkhallen in Worblaufen : Neubau";"Car Body Factory Ramseier & Jenzer AG : Workshops in Worblaufen : New Building"
"2023-05-25T10:42:53+02:00";"111749";"17105";"2023-04-11T09:37:21Z";"Arkina SA (Wüthrich Thun)";"";"Arkina SA (Wüthrich Thun)";"Arkina SA (Wüthrich Thun)"
"2023-05-25T10:42:53+02:00";"111750";"17106";"2023-03-28T12:41:39Z";"Eidgenössisches Arbeitsinspektorat, Kreis 2";"";"Eidgenössisches Arbeitsinspektorat, Kreis 2";"Federal Labor Inspectorate, District 2"
"2023-05-25T10:42:53+02:00";"111751";"17107";"2023-05-03T17:07:28Z";"Amt für Mass und Gewicht AMG (heute Eidgenössisches Institut für Metrologie Metas) : Turmaufsatz";"";"Amt für Mass und Gewicht AMG (heute Eidgenössisches Institut für Metrologie Metas) : Turmaufsatz";"Office for Weights and Measures Amg (Today Swiss Federal Institute for Metrology Metas) : Tower Top"
"2023-05-25T10:42:53+02:00";"111752";"17108";"2023-05-03T16:50:19Z";"Aluminium-Wasserfahrzeuge-Fabrik Spiboot";"";"Aluminium-Wasserfahrzeuge-Fabrik Spiboot";"Aluminum Watercraft Factory Spiboot"
"2023-05-25T10:42:53+02:00";"111753";"17109";"2023-05-03T16:50:44Z";"Alucoplast Skandinavien : Leichtmetall-Fenster-Fabrik";"";"Alucoplast Skandinavien : Leichtmetall-Fenster-Fabrik";"Alucoplast Scandinavia : Light Metal Window Factory"
"2023-05-25T10:42:53+02:00";"111754";"17110";"2021-11-25T21:28:34Z";"Wohnhaus Kohler";"";"Wohnhaus Kohler";"Kohler's House"
"2023-05-25T10:42:53+02:00";"111755";"17111";"2023-03-28T12:41:45Z";"Stromeyer & Co. GmbH";"";"Stromeyer & Co. GmbH";"Stromeyer & Co. GmbH"
"2023-05-25T10:42:53+02:00";"111756";"17112";"2023-03-28T12:41:46Z";"Michael Bardey : Gespräch";"";"Michael Bardey : Gespräch";"Michael Bardey : Conversation"
"2023-05-25T10:42:53+02:00";"111757";"17113";"2023-03-28T12:41:47Z";"Schweizer Armee : Brücke Habkern";"";"Schweizer Armee : Brücke Habkern";"Swiss Army : Habkern Bridge"
"2023-05-25T10:42:53+02:00";"111758";"17114";"2023-05-14T11:56:13Z";"Bubble : Bubble System AG : Allgemein";"";"Bubble : Bubble System AG : Allgemein";"Bubble : Bubble System AG : General"
"2023-05-25T10:42:53+02:00";"111759";"17115";"2023-03-28T12:41:49Z";"Stadttheater Winterthur : Zivilschutzanlage";"";"Stadttheater Winterthur : Zivilschutzanlage";"Stadttheater Winterthur : Civil Defense System"
