"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"111953","17309","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"111954","17310","Projekt(e) 1962/1965","01.01.1962","31.12.1965","1962","1965"
"111955","17311","Anfrage 1962","01.01.1962","31.12.1962","1962","1962"
"111957","17313","Vorprojekt 1963","01.01.1963","31.12.1963","1963","1963"
"111958","17314","Wettbewerb 1. Stufe 2006/2007: «264653»; nicht ausgeführt","01.01.2006","31.12.2007","2006","2007"
"111960","17316","Anfrage 2008","01.01.2008","31.12.2008","2008","2008"
"111961","17317","Akquise 1970","01.01.1970","31.12.1970","1970","1970"
"111963","17319","Anfrage 1974","01.01.1974","31.12.1974","1974","1974"
"111964","17320","Vorprojekt 1960","01.01.1960","31.12.1960","1960","1960"
"111965","17321","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111966","17322","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"111967","17323","Vorprojekt 1997","01.01.1997","31.12.1997","1997","1997"
"111968","17324","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111969","17325","Vorprojekt 2001","01.01.2001","31.12.2001","2001","2001"
"111970","17326","Projekt 1999","01.01.1999","31.12.1999","1999","1999"
"111971","17327","Anfrage 1986","01.01.1986","31.12.1986","1986","1986"
"111972","17328","Vorprojekt 2002/2003","01.01.2002","31.12.2003","2002","2003"
"111973","17329","Anfrage 1975","01.01.1975","31.12.1975","1975","1975"
"111974","17330","Anfrage 1993","01.01.1993","31.12.1993","1993","1993"
"111975","17331","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111976","17332","Projekt 1985","01.01.1985","31.12.1985","1985","1985"
"111977","17333","Kontaktnahmen 1964/1966","01.01.1964","31.12.1966","1964","1966"
"111978","17334","Anfrage 1999","01.01.1999","31.12.1999","1999","1999"
"111981","17337","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"111983","17339","Anfrage 1970","01.01.1970","31.12.1970","1970","1970"
"111984","17340","Vorprojekte 1964","01.01.1964","31.12.1964","1964","1964"
"111985","17341","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"111986","17342","Anfrage 1966/1967","01.01.1966","31.12.1967","1966","1967"
"111987","17343","Vorprojekt 1988","01.01.1988","31.12.1988","1988","1988"
"111988","17344","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"111989","17345","Vorprojekt 1999","01.01.1999","31.12.1999","1999","1999"
"111990","17346","Anfrage 1978/1980","01.01.1978","31.12.1980","1978","1980"
"111991","17347","Anfrage 1981/1986","01.01.1981","31.12.1986","1981","1986"
"112042","17398","datiert 1967/1968","01.01.1967","31.12.1968","1967","1968"
"112044","17400","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112045","17401","Projekt 1974","01.01.1974","31.12.1974","1974","1974"
"112046","17402","Vorprojekt 1993","01.01.1993","31.12.1993","1993","1993"
"112047","17403","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"112048","17404","Anfrage 1970","01.01.1970","31.12.1970","1970","1970"
"112049","17405","Vorschlag 1967","01.01.1967","31.12.1967","1967","1967"
"112050","17406","Vorschlag 12.1966","01.12.1966","31.12.1966","1966-12-01","1966-12-31"
"112051","17407","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"112052","17408","undatiert [1955/1957]","01.01.1955","31.12.1957","1955","1957"
"112053","17409","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"112054","17410","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112055","17411","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112056","17412","Vorprojekt 1972","01.01.1972","31.12.1972","1972","1972"
"112057","17413","Anfrage 1974","01.01.1974","31.12.1974","1974","1974"
"112058","17414","Vorprojekt 2000","01.01.2000","31.12.2000","2000","2000"
"112059","17415","Anfrage 1978/1979","01.01.1978","31.12.1979","1978","1979"
"112060","17416","Vorprojekt 1968","01.01.1968","31.12.1968","1968","1968"
"112061","17417","Projekt(e) 1965/1966","01.01.1965","31.12.1966","1965","1966"
"112062","17418","Anfrage 1983","01.01.1983","31.12.1983","1983","1983"
"112064","17420","Anfrage 1990","01.01.1990","31.12.1990","1990","1990"
"112065","17421","Anfrage 1984","01.01.1984","31.12.1984","1984","1984"
"112066","17422","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"112067","17423","Vorprojekt 1968","01.01.1968","31.12.1968","1968","1968"
"112068","17424","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112069","17425","Vorprojekt 1972","01.01.1972","31.12.1972","1972","1972"
"112070","17426","[Anfrage] 1967","01.01.1967","31.12.1967","1967","1967"
