"_system_object_id";"_id";"T_Chronologie";"T_ChronologieDatMin";"T_ChronologieDatMax";"T_ChronologieTimespanFrom";"T_ChronologieTimespanTo";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__generic_actors";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl__all_fields";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields_isler_v3";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|generic_materials|art_materials__all_fields";"easydb|typology_shell|oeu_shell__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|do|do__generic_import"
"111759";"17115";"Gutachten 1976";"01.01.1976";"31.12.1976";"1976";"1976";"42";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17115";"10";"17065";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111761";"17117";"Vorprojekt 1984";"01.01.1984";"31.12.1984";"1984";"1984";"43";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17117";"9";"17067";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111763";"17119";"Anfrage 1969";"01.01.1969";"31.12.1969";"1969";"1969";"44";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17119";"10";"17069";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111764";"17120";"Anfrage 1990";"01.01.1990";"31.12.1990";"1990";"1990";"45";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17120";"10";"17070";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111765";"17121";"Anfrage 1966";"01.01.1966";"31.12.1966";"1966";"1966";"46";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17121";"10";"17071";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111766";"17122";"Anfrage 1966";"01.01.1966";"31.12.1966";"1966";"1966";"47";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17122";"11";"17072";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111769";"17125";"Vorprojekt 1991";"01.01.1991";"31.12.1991";"1991";"1991";"48";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17125";"11";"17075";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111770";"17126";"Anfrage 1980";"01.01.1980";"31.12.1980";"1980";"1980";"49";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17126";"10";"17076";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111772";"17128";"Anfrage 1987/1982";"01.01.1987";"31.12.1982";"1987";"1982";"50";"[""update""]";"failed";"2023-03-28 14:42:20";"";"";"17128";"10";"17078";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111773";"17129";"Anfrage 1986";"01.01.1986";"31.12.1986";"1986";"1986";"51";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17129";"11";"17079";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111774";"17130";"Vorprojekt 1996";"01.01.1996";"31.12.1996";"1996";"1996";"52";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17130";"11";"17080";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111775";"17131";"Anfrage 1966";"01.01.1966";"31.12.1966";"1966";"1966";"53";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17131";"10";"17081";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111776";"17132";"Vorprojekt 1962";"01.01.1962";"31.12.1962";"1962";"1962";"54";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17132";"12";"17082";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111777";"17133";"Vorprojekt 1981/1982";"01.01.1981";"31.12.1982";"1981";"1982";"55";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17133";"14";"17083";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111779";"17135";"Vorprojekt 1990";"01.01.1990";"31.12.1990";"1990";"1990";"56";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17135";"11";"17085";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111780";"17136";"Vorprojekt 1997";"01.01.1997";"31.12.1997";"1997";"1997";"57";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17136";"11";"17086";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111781";"17137";"datiert 1980";"01.01.1980";"31.12.1980";"1980";"1980";"58";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17137";"10";"17087";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111782";"17138";"Studentenprojekt 1985";"01.01.1985";"31.12.1985";"1985";"1985";"59";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17138";"10";"17088";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111785";"17141";"Anfrage 1966";"01.01.1966";"31.12.1966";"1966";"1966";"60";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17141";"14";"17091";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111786";"17142";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"61";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17142";"12";"17092";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111787";"17143";"Anfrage 1972";"01.01.1972";"31.12.1972";"1972";"1972";"62";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17143";"11";"17093";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111788";"17144";"Anfrage 1972";"01.01.1972";"31.12.1972";"1972";"1972";"63";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17144";"11";"17094";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111790";"17146";"Akquisition 1993";"01.01.1993";"31.12.1993";"1993";"1993";"64";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17146";"10";"17096";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111791";"17147";"Vorprojekte oder Wettbewerb 1999";"01.01.1999";"31.12.1999";"1999";"1999";"65";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17147";"16";"21262";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
